host_id,id,earnings
3815217,1,33930
3818459,1,0
3833669,1,5538
3847135,1,288
3859850,1,1470
3868307,1,1600
3879576,1,4680
3885436,1,4290
3885805,4,101520
3889085,1,4416
3889607,1,27400
3893693,1,1598
3899934,1,45495
3901019,16,415696
3901572,1,4680
3907915,1,59020
3911721,26,4545
3912625,1,129600
3919753,2,5115
3920790,1,0
3922188,1,39600
3926499,1,5733
3928188,1,720
3929164,1,3010
3937003,9,430810
3942088,1,5700
3962572,3,237850
3971935,2,7280
3972387,1,120
3972894,2,8195
3972936,23,309489
3974488,1,1705
3976834,2,102920
3980475,1,640
3987152,1,7100
3987393,1,45344
3994718,2,711360
3996198,2,59490
3996358,1,0
4002679,1,21804
4004240,1,1716
4006184,18,254595
4012887,1,30090
4019775,3,248
4021283,23,187436
4021848,1,34
4022728,1,2860
4024608,1,0
4024998,2,126750
4030082,2,88950
4030343,1,4785
4033719,1,210
4039955,1,46000
4042185,1,19620
4047571,1,300
4047624,2,1694
4048635,1,42300
4052481,1,38940
4053184,2,1050
4055580,1,1500
4063266,1,58764
4063564,1,21760
4064440,11,754170
4065255,1,3600
4066570,1,0
4075216,2,52480
4076744,2,147540
4076847,1,6138
4077942,3,11856
4081746,1,0
4085156,49,84620
4086313,1,43200
4090611,1,120
4092116,1,32850
4093480,1,37960
4093742,1,387
4101093,12,780738
4107957,1,3200
4110458,3,36518
4116737,1,15376
4121321,1,0
4121680,1,220
4124827,1,4692
4126257,1,1920
4128468,1,367200
4129048,1,0
4135608,1,2952
4139033,1,1155
4145430,1,37200
4146917,1,3780
4147219,1,60172
4149473,1,0
4149600,2,31860
4150504,1,760
4152277,1,7616
4155340,1,2820
4156885,1,1134
4166229,4,0
4167006,1,6570
4171310,1,88000
4172638,1,360
4173482,1,0
4175419,2,3447
4187032,1,400
4188458,1,696
4193061,1,4180
4193907,1,2040
4195325,1,2700
4197413,1,30090
4197737,1,9300
4200542,1,9900
4206410,1,37440
4212095,17,203960
4217311,11,211446
4218213,2,840
4223373,1,4180
4226509,2,283920
4230551,1,49600
4232898,1,9750
4235840,1,2145
4236308,2,358940
4249440,1,6448
4249766,1,10584
4252865,1,100
4253522,1,113620
4258344,5,95448
4258623,3,0
4260395,4,6242
4260952,12,7300
4261436,1,9164
4266014,1,0
4268119,2,4956
4269183,6,121698
4269290,1,540
4278589,1,17952
4289463,6,1719
4303604,2,840
4305996,1,5207
4309990,2,825
4311145,2,21900
4311845,1,49800
4313721,1,38250
4321127,1,0
4322082,1,15600
4325571,2,14490
4329316,2,872
4334436,1,875
4335452,1,10858
4346619,1,225
4348758,1,0
4352524,1,5850
4354186,1,1320
4356848,1,5220
4357751,3,8464
4358678,1,5400
4369049,2,122550
4371798,1,10080
4374289,4,84606
4378381,1,2850
4379880,1,496
4380291,1,250
4382099,1,1080
4386966,2,9000
4389315,1,3248
4389772,1,8400
4391784,4,16095
4396136,12,27489
4396320,1,1300
4396451,1,24696
4397402,1,2250
4398032,1,8428
4404179,1,3608
4418576,1,5456
4419532,2,154440
4424400,1,210
4425048,2,30050
4426113,1,0
4427588,2,36300
4433021,1,19588
4433036,4,112
4437210,2,240390
4439624,2,28664
4452491,3,129128
4458114,1,35200
4459553,195,2297950
4459692,1,1950
4460420,1,4125
4466322,3,6136
4472095,3,16350
4480605,1,3240
4481767,1,4316
4495258,1,0
4498407,7,42270
4502018,1,1680
4503125,1,3195
4507138,1,22059
4528780,1,11501
4532725,1,1287
4547731,1,1984
4571266,2,200
4573311,1,1518
4579896,1,675
4585497,1,36378
4594639,1,4800
4597849,1,9900
4603241,2,23720
4626127,1,459000
4627509,2,62040
4628755,1,600
4638971,1,20115
4639694,1,1863
4639824,1,9975
4639926,2,523140
4640690,4,195540
4642309,1,650
4647830,2,25632
4649744,1,61200
4653599,7,83397
4664615,1,0
4681816,2,8280
4686444,1,2325
4687292,1,20400
4699766,1,42560
4710878,1,20433
4713677,1,0
4714408,3,0
4715645,1,114000
4720380,1,128928
4749906,1,450
4762195,1,1000
4778919,1,17920
4779974,1,18
4787333,1,4183
4788872,1,1508
4789498,1,2450
4805453,2,64780
4805534,1,4680
4805849,1,44082
4807771,1,0
4814567,1,840
4814875,1,65520
4831362,1,4005
4846938,3,20375
4855882,4,257800
4858173,1,1652
4860533,3,78240
4864707,4,104160
4871144,1,952
4878564,1,11160
4882324,2,46995
4883414,2,1848
4889904,1,3696
4895881,1,51300
4897883,8,302952
4905017,1,7844
4906099,10,172221
4918438,1,67338
4918740,6,136492
4922813,1,33734
4933352,1,1080
4938732,1,2200
4948899,1,4720
4950474,3,45420
4950567,1,0
4955385,1,19116
4959266,6,30194
4960486,1,53235
4972085,1,0
4973632,2,56
4979056,1,43840
4979782,1,67200
4985696,2,260
4985749,11,153150
4989233,1,708
4990426,1,125
4991777,1,13770
4993461,1,19200
4999880,2,37304
5000992,2,28449
5012760,1,1600
5013120,1,50
5016018,1,0
5020114,3,155856
5021111,1,34970
5022169,1,390
5023182,1,45
5024374,1,1600
5024572,1,0
5032296,3,20412
5035608,1,13230
5036026,1,41400
5043625,1,11880
5044674,1,54560
5045046,1,38010
5045721,1,3600
5057234,3,91800
5057797,2,27360
5060686,6,96170
5061072,3,127044
5070884,3,83290
5072003,1,80
5077282,1,55242
5081592,2,1920
5082480,1,22355
5086244,1,8400
5089278,1,0
5092396,1,3422
5092573,1,9500
5095909,1,392
5096271,1,50568
5097332,1,4160
5103491,2,11223
5107063,9,86499
5111255,1,1824
5123660,1,12987
5126902,1,22302
5127063,1,132
5130074,1,1598
5132531,3,1172
5137914,1,288
5141249,1,0
5143448,1,3024
5143731,2,140
5144460,1,490
5144517,1,0
5157936,4,39650
5159312,1,35700
5159867,3,420
5166127,1,0
5170063,1,33750
5170597,5,280938
5170788,1,18480
5171340,2,1320
5173200,2,5574
5178840,1,43188
5182848,1,2870
5186175,3,7320
5197001,2,69420
5201227,4,359760
5209719,4,16500
5218590,1,1032
5218796,1,1122
5219447,1,102340
5221648,1,960
5221907,1,2210
5223003,1,2072
5223863,3,62683
5226055,1,67440
5227798,1,1100
5231033,1,0
5236677,1,45540
5249210,1,67626
5262401,1,480
5264883,20,174946
5274991,2,43485
5277295,1,50160
5286153,2,6100
5297763,1,245
5300504,1,240
5314041,3,30720
5317410,2,270350
5317715,1,0
5320036,1,15990
5323645,1,4240
5324288,1,180
5330232,1,2000
5337036,2,87255
5349333,3,35250
5359193,1,7760
5360064,1,0
5361567,1,58650
5364088,3,4635
5365437,1,5504
5369383,1,18228
5374312,1,59400
5385759,1,36639
5398370,1,560
5404703,2,1376
5405357,2,2470
5406180,1,28390
5410567,1,3600
5414485,1,58200
5414684,5,66840
5418072,2,7320
5418788,1,21756
5420234,1,15624
5420668,2,26970
5428204,1,46458
5429755,1,7200
5432336,12,26983
5443988,1,5250
5449946,1,33654
5471409,1,242
5471775,2,53760
5472538,1,111408
5473585,1,3392
5488247,1,3255
5489103,1,79350
5495288,1,2790
5509819,3,25968
5511646,2,98901
5515046,1,0
5515536,3,110558
5526987,2,2016
5531455,2,5982
5531632,1,500
5543127,8,216290
5558536,1,59274
5559536,4,18418
5560246,1,51260
5563779,1,84040
5571621,1,2170
5579334,2,14310
5580323,1,4056
5582465,1,20790
5582678,1,22620
5583695,1,38700
5583741,2,12482
5603097,1,4970
5603130,2,3509
5606008,1,13300
5608910,6,11250
5614931,30,8980
5617051,1,86184
5621279,2,27108
5621900,1,26600
5621962,1,29880
5623385,1,3080
5628157,1,69000
5628387,1,1824
5631092,1,600
5632902,1,9750
5636973,3,108990
5647375,1,17510
5650710,2,9240
5651747,7,163644
5655236,1,400
5655546,3,36783
5660639,1,960
5664206,1,7200
5664950,1,57090
5677096,1,96
5677460,1,9350
5682394,1,25920
5683688,1,29640
5686988,1,0
5687733,1,24272
5690926,1,4816
5692445,8,14320
5711333,1,1520
5712331,1,11970
5719437,1,13770
5721224,1,17442
5729069,27,396384
5735370,1,6510
5748709,1,58140
5751330,1,33660
5751589,3,10621
5752297,1,391
5756325,1,75060
5763262,1,2415
5764841,1,17840
5765512,1,660
5784650,4,98688
5790741,1,8640
5793357,1,13760
5795308,1,36300
5795639,1,850
5796387,5,9215
5803360,1,0
5806822,1,30
5809042,1,1260
5814159,7,87960
5837160,1,7980
5840078,3,8080
5841645,1,16974
5843487,12,99838
5845530,1,1008
5846874,2,3096
5860860,5,8980
5873242,1,8160
5873731,1,1682
5874428,2,370
5878688,60,487234
5888954,1,5310
5897477,1,32340
5919250,1,22140
5929542,1,1260
5940318,1,32922
5947431,4,79914
5954956,6,28520
5963978,1,36000
5966973,1,10912
5969578,1,11102
5970873,2,3332
5971230,1,120
5979082,1,810
5983460,1,79980
5987148,1,0
6001714,2,51600
6007300,1,1170
6008627,1,1040
6011393,1,800
6013853,2,0
6019297,1,13965
6027449,1,4400
6028483,1,480
6029581,1,39
6035247,1,0
6035310,1,20736
6036222,1,270
6040402,1,26586
6042913,1,41600
6045174,3,14172
